group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
Rounding,round,f128,round,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.3374,10.1198,2.33314,qdpp (dd_real),-,-,-,0.988411,yes,-,-,-,-,-,-,4.28714,0.988411
Rounding,nearbyint,f128,nearbyint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.95562,10.1045,2.039,qdpp (dd_real),-,-,-,0.865001,yes,-,-,-,-,-,-,4.28662,0.865001
Rounding,rint,f128,rint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.0021,10.0562,2.01039,qdpp (dd_real),-,-,-,0.85491,yes,-,-,-,-,-,-,4.27635,0.85491
Rounding,lround,f128,lround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,10.1109,91.9039,9.08958,boost::multiprecision::cpp_double_double,-,-,-,9.08958,no,-,-,-,-,-,-,-,-
Rounding,llround,f128,llround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,10.0581,91.7637,9.12332,boost::multiprecision::cpp_double_double,-,-,-,9.12332,no,-,-,-,-,-,-,-,-
Rounding,lrint,f128,lrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,13.5171,91.9755,6.80436,boost::multiprecision::cpp_double_double,-,-,-,6.80436,no,-,-,-,-,-,-,-,-
Rounding,llrint,f128,llrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,13.4024,92.5711,6.90705,boost::multiprecision::cpp_double_double,-,-,-,6.90705,no,-,-,-,-,-,-,-,-
Remainders,fmod,f128,fmod,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,23.3932,45.4153,1.94139,qdpp (dd_real),-,-,-,1.40182,yes,-,-,-,-,-,-,32.7931,1.40182
Remainders,remainder,f128,remainder,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,29.9485,48.2712,1.6118,qdpp (dd_real),-,-,-,1.07324,yes,-,-,-,-,-,-,32.1421,1.07324
Remainders,remquo,f128,remquo,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,30.0925,47.136,1.56637,boost::multiprecision::cpp_double_double,-,-,-,1.56637,no,-,-,-,-,-,-,-,-
Floating-point utilities,abs,f128,fabs,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26013,4.2705,1.00243,qdpp (dd_real),-,-,-,1.00185,yes,-,-,-,-,-,-,4.26802,1.00185
Floating-point utilities,fma,f128,fma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26741,18.491,4.33306,boost::multiprecision::cpp_double_double,-,-,-,4.33306,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmin,f128,fmin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.23982,4.24638,1.00155,boost::multiprecision::cpp_double_double,-,-,-,1.00155,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmax,f128,fmax,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.25467,4.2414,0.99688,boost::multiprecision::cpp_double_double,-,-,-,0.99688,no,-,-,-,-,-,-,-,-
Floating-point utilities,fdim,f128,fdim,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26892,7.60027,1.78037,boost::multiprecision::cpp_double_double,-,-,-,1.78037,no,-,-,-,-,-,-,-,-
Floating-point utilities,copysign,f128,copysign,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.22758,4.62216,1.09334,boost::multiprecision::cpp_double_double,-,-,-,1.09334,no,-,-,-,-,-,-,-,-
Floating-point utilities,ldexp,f128,ldexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.23713,4.33526,1.02316,boost::multiprecision::cpp_double_double,-,-,-,1.02316,yes,-,-,-,-,-,-,4.39396,1.03701
Floating-point utilities,scalbn,f128,scalbn,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26267,4.38114,1.02779,boost::multiprecision::cpp_double_double,-,-,-,1.02779,yes,-,-,-,-,-,-,4.41049,1.03468
Floating-point utilities,scalbln,f128,scalbln,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.25309,4.36426,1.02614,boost::multiprecision::cpp_double_double,-,-,-,1.02614,yes,-,-,-,-,-,-,4.3799,1.02982
Floating-point utilities,frexp,f128,frexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.37476,6.38392,1.00144,boost::multiprecision::cpp_double_double,-,-,-,1.00144,no,-,-,-,-,-,-,-,-
Floating-point utilities,modf,f128,modf,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,7.08628,11.0596,1.56071,boost::multiprecision::cpp_double_double,-,-,-,1.56071,no,-,-,-,-,-,-,-,-
Floating-point utilities,ilogb,f128,ilogb,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.12977,3.04373,1.42913,boost::multiprecision::cpp_double_double,-,-,-,1.42913,no,-,-,-,-,-,-,-,-
Floating-point utilities,logb,f128,logb,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.24974,25.7581,6.06111,boost::multiprecision::cpp_double_double,-,-,-,6.06111,no,-,-,-,-,-,-,-,-
Floating-point utilities,nextafter,f128,nextafter,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.5899,21.4275,4.66841,boost::multiprecision::cpp_double_double,-,-,-,4.66841,no,-,-,-,-,-,-,-,-
Floating-point utilities,nexttoward(type),f128,nexttoward,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.66483,21.4001,4.58754,boost::multiprecision::cpp_double_double,-,-,-,4.58754,no,-,-,-,-,-,-,-,-
Roots & powers,sqrt,f128,sqrt,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.25673,4.30076,1.01034,boost::multiprecision::cpp_double_double,-,-,-,1.01034,yes,-,-,-,-,-,-,7.5121,1.76476
Roots & powers,cbrt,f128,cbrt,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,24.5303,337.779,13.7699,qdpp (dd_real),-,-,-,2.93303,yes,-,-,-,-,-,-,71.9481,2.93303
Roots & powers,hypot,f128,hypot,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,13.3332,60.523,4.53927,boost::multiprecision::cpp_double_double,-,-,-,4.53927,no,-,-,-,-,-,-,-,-
Roots & powers,pow,f128,pow,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,245.012,851.49,3.47529,qdpp (dd_real),-,-,-,1.6145,yes,-,-,-,-,-,-,395.573,1.6145
Exponentials,exp,f128,exp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,83.5575,369.09,4.41719,qdpp (dd_real),-,-,-,2.10738,yes,-,-,-,-,-,-,176.088,2.10738
Exponentials,exp2,f128,exp2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,85.3328,853.991,10.0078,boost::multiprecision::cpp_double_double,-,-,-,10.0078,no,-,-,-,-,-,-,-,-
Exponentials,expm1,f128,expm1,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,89.1553,375.805,4.21517,qdpp (dd_real),-,-,-,1.96102,yes,-,-,-,-,-,-,174.836,1.96102
Logarithms,log,f128,log,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,127.719,426.487,3.33926,qdpp (dd_real),-,-,-,1.57831,yes,-,-,-,-,-,-,201.58,1.57831
Logarithms,log2,f128,log2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,129.731,437.106,3.36932,boost::multiprecision::cpp_double_double,-,-,-,3.36932,no,-,-,-,-,-,-,-,-
Logarithms,log10,f128,log10,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,129.592,439.261,3.38956,qdpp (dd_real),-,-,-,1.7713,yes,-,-,-,-,-,-,229.547,1.7713
