group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
IO,"to_string(huge, 15, default)",f256,"to_string(huge, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,47.6431,51.2377,23.3847,-,47.6431,51.2377,23.3847,-,0,0,288.7,678.075,2.34872,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.34872,no,-,-,-,-,-,-,-,-
IO,"to_string(huge, 15, fixed)",f256,"to_string(huge, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,121.082,158.395,65.0733,-,121.082,157.324,65.0733,-,0,0,598.55,1092.15,1.82466,qdpp (qd_real),0.318129,0,0,22.827,yes,121.082,158.076,65.0733,-,0,0,13663.1,22.827
IO,"to_string(huge, 15, hexfloat)",f256,"to_string(huge, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.01,224.898,100,-,-,-,-,-,-,-,292.225,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(huge, 15, scientific)",f256,"to_string(huge, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,50.9471,54.4453,24.9146,-,50.9471,54.4453,24.9146,-,0,0,613.475,675.1,1.10045,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.10045,yes,50.9471,54.4453,24.9146,-,0,0,1396.92,2.27707
IO,"to_string(huge, 31, default)",f256,"to_string(huge, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,100.896,120.979,51.656,-,100.896,120.56,51.656,-,0,0,322.625,692.275,2.14576,boost::multiprecision::mpfr_float_backend<64>,0.419005,0,0,2.14576,no,-,-,-,-,-,-,-,-
IO,"to_string(huge, 31, fixed)",f256,"to_string(huge, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,174.591,205.551,88.3426,-,174.591,203.512,88.3426,-,1.08002e-12,-1.33467e-09,760.125,1171.95,1.54179,qdpp (qd_real),0.783259,1.13687e-13,1.8844e-09,18.0231,yes,174.591,204.768,88.3426,-,1.13687e-13,1.8844e-09,13699.8,18.0231
IO,"to_string(huge, 31, hexfloat)",f256,"to_string(huge, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.01,224.898,100,-,-,-,-,-,-,-,182.475,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(huge, 31, scientific)",f256,"to_string(huge, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,104.165,125.82,53.5797,-,104.165,125.323,53.5797,-,0,0,271.95,717.125,2.63697,qdpp (qd_real),0.238002,0,0,8.38564,yes,104.165,125.582,53.5797,-,0,0,2280.47,8.38564
IO,"to_string(huge, 63, default)",f256,"to_string(huge, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,207.291,218.868,98.8647,-,207.282,216.28,98.8649,-,0.00874997,-0.000219672,524.475,771.025,1.47009,boost::multiprecision::mpfr_float_backend<64>,2.58709,0.00874997,-0.000219672,1.47009,no,-,-,-,-,-,-,-,-
IO,"to_string(huge, 63, fixed)",f256,"to_string(huge, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,280.699,292.431,100,-,280.529,292.487,100,-,0.170146,0,972.425,1561.2,1.60547,boost::multiprecision::mpfr_float_backend<64>,-0.0557713,0.170146,0,1.60547,yes,215.237,219.558,100,-,65.4621,0,14188.7,14.5911
IO,"to_string(huge, 63, hexfloat)",f256,"to_string(huge, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.01,224.898,100,-,-,-,-,-,-,-,187.65,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(huge, 63, scientific)",f256,"to_string(huge, 63, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,210.556,220.098,99.7598,-,210.643,217.415,99.7797,-,-0.0869182,-0.0198275,376.85,1368.6,3.63168,qdpp (qd_real),1.10107,0.0415711,0.00852608,11.2745,yes,210.514,218.997,99.7513,-,0.0415711,0.00852608,4248.8,11.2745
IO,"to_string(large-exp, 15, default)",f256,"to_string(large-exp, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,47.9023,51.1278,23.3901,-,47.9023,51.1278,23.3901,-,0,0,429.025,742.65,1.73102,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.73102,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 15, fixed)",f256,"to_string(large-exp, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,678.175,1488.47,2.19482,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.19482,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 15, hexfloat)",f256,"to_string(large-exp, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.002,222.348,100,-,-,-,-,-,-,-,184.2,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 15, scientific)",f256,"to_string(large-exp, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,51.087,54.4783,24.9683,-,51.087,54.4783,24.9683,-,0,0,839.55,781.075,0.93035,boost::multiprecision::mpfr_float_backend<64>,0,0,0,0.93035,yes,51.087,54.4783,24.9683,-,0,0,1522.38,1.81332
IO,"to_string(large-exp, 31, default)",f256,"to_string(large-exp, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,100.901,118.845,51.6887,-,100.901,118.365,51.6887,-,0,0,613.075,866.15,1.4128,boost::multiprecision::mpfr_float_backend<64>,0.480661,0,0,1.4128,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 31, fixed)",f256,"to_string(large-exp, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,844.375,1729.25,2.04796,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.04796,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 31, hexfloat)",f256,"to_string(large-exp, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.002,222.348,100,-,-,-,-,-,-,-,184.35,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 31, scientific)",f256,"to_string(large-exp, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,104.004,123.073,53.3865,-,104.004,122.538,53.3865,-,0,0,644.925,862.55,1.33744,qdpp (qd_real),0.305229,0,0,3.70303,yes,104.004,122.768,53.3865,-,0,0,2388.18,3.70303
IO,"to_string(large-exp, 63, default)",f256,"to_string(large-exp, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,207.288,216.871,98.8941,-,207.296,214.137,98.8959,-,-0.00830852,-0.00171189,1211.12,1226.7,1.01286,boost::multiprecision::mpfr_float_backend<64>,2.73376,-0.00830852,-0.00171189,1.01286,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 63, fixed)",f256,"to_string(large-exp, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,1150.35,1801.08,1.56568,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.56568,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 63, hexfloat)",f256,"to_string(large-exp, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.002,222.348,100,-,-,-,-,-,-,-,184.875,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(large-exp, 63, scientific)",f256,"to_string(large-exp, 63, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,210.551,218.12,99.7896,-,210.538,215.271,99.7874,-,0.0133827,0.0021389,947.725,988.25,1.04276,qdpp (qd_real),1.06454,0,-0.00187786,4.31795,yes,210.551,217.055,99.7914,-,0,-0.00187786,4092.22,4.31795
IO,"to_string(low-prec, 15, default)",f256,"to_string(low-prec, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,265.1,768.275,2.89806,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,2.89806,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 15, fixed)",f256,"to_string(low-prec, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,422.475,1279.03,3.02746,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,3.02746,yes,214.817,245.858,100,-,0.392488,0,13541.6,32.053
IO,"to_string(low-prec, 15, hexfloat)",f256,"to_string(low-prec, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.031,249.493,100,-,-,-,-,-,-,-,170.925,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 15, scientific)",f256,"to_string(low-prec, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,214.875,798.65,3.71681,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,3.71681,yes,214.817,245.858,100,-,0.392488,0,1372.7,6.38837
IO,"to_string(low-prec, 31, default)",f256,"to_string(low-prec, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,337.65,837.25,2.47964,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,2.47964,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 31, fixed)",f256,"to_string(low-prec, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,375.75,1372.8,3.65349,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,3.65349,yes,214.817,245.858,100,-,0.392488,0,13959.2,37.1502
IO,"to_string(low-prec, 31, hexfloat)",f256,"to_string(low-prec, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.031,249.493,100,-,-,-,-,-,-,-,299.3,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 31, scientific)",f256,"to_string(low-prec, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,383.05,838.95,2.19018,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,2.19018,yes,214.817,245.858,100,-,0.392488,0,2374.97,6.20017
IO,"to_string(low-prec, 63, default)",f256,"to_string(low-prec, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,520.1,803.425,1.54475,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,1.54475,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 63, fixed)",f256,"to_string(low-prec, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,249.888,100,-,214.112,247.994,100,-,1.09724,0,601.2,1756.72,2.92203,boost::multiprecision::mpfr_float_backend<64>,1.89399,1.09724,0,2.92203,yes,214.79,220.826,100,-,0.420132,0,13538.5,22.5192
IO,"to_string(low-prec, 63, hexfloat)",f256,"to_string(low-prec, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.031,249.493,100,-,-,-,-,-,-,-,291.65,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 63, scientific)",f256,"to_string(low-prec, 63, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,516.95,1463.2,2.83045,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,2.83045,yes,214.817,245.858,100,-,0.392488,0,3999.97,7.73764
IO,"to_string(small-exp, 15, default)",f256,"to_string(small-exp, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,47.6879,51.2066,23.3796,-,47.6879,51.2066,23.3796,-,0,0,518.15,729.4,1.4077,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.4077,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 15, fixed)",f256,"to_string(small-exp, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,-0,0,0,-,-0,0,0,-,0,0,462.8,1021.55,2.20732,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.20732,yes,-0,0,0,-,0,0,6884.8,14.8764
IO,"to_string(small-exp, 15, hexfloat)",f256,"to_string(small-exp, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.004,222.496,100,-,-,-,-,-,-,-,188.375,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 15, scientific)",f256,"to_string(small-exp, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,51.0393,54.5139,24.9577,-,51.0393,54.5139,24.9577,-,0,0,513.8,710.35,1.38254,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.38254,yes,51.0393,54.5139,24.9577,-,0,0,1810.15,3.52306
IO,"to_string(small-exp, 31, default)",f256,"to_string(small-exp, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,100.696,116.381,51.0854,-,100.696,116.007,51.0854,-,0,0,559.3,830.7,1.48525,boost::multiprecision::mpfr_float_backend<64>,0.373746,0,0,1.48525,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 31, fixed)",f256,"to_string(small-exp, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,-0,0,0,-,-0,0,0,-,0,0,820.925,1158.78,1.41155,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.41155,yes,-0,0,0,-,0,0,6925.05,8.43567
IO,"to_string(small-exp, 31, hexfloat)",f256,"to_string(small-exp, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.004,222.496,100,-,-,-,-,-,-,-,183.925,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 31, scientific)",f256,"to_string(small-exp, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,104.089,121.388,53.0403,-,104.089,120.959,53.0403,-,0,0,560.175,817.55,1.45945,qdpp (qd_real),0.328567,0,0,4.70924,yes,104.089,121.059,53.0403,-,0,0,2638,4.70924
IO,"to_string(small-exp, 63, default)",f256,"to_string(small-exp, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,207.451,216.676,98.851,-,207.445,214.042,98.8485,-,0.00564526,0.00253421,665.575,900.25,1.35259,boost::multiprecision::mpfr_float_backend<64>,2.63398,0.00564526,0.00253421,1.35259,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 63, fixed)",f256,"to_string(small-exp, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,-0,0,0,-,-0,0,0,-,0,0,1414.85,1287.88,0.910256,boost::multiprecision::mpfr_float_backend<64>,0,0,0,0.910256,yes,-0,0,0,-,0,0,7586.65,5.36216
IO,"to_string(small-exp, 63, hexfloat)",f256,"to_string(small-exp, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.004,222.496,100,-,-,-,-,-,-,-,184.675,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
